138,309824558,49974,16,51,2
139,139640302,370,1677,195,0
140,151837247,774,1867,19,0
141,127114796,32,22,5,0
142,208548449,4571,5935,1126,40
143,18154243,113,446,932,87
144,403432755,282,534,30,0
145,492102595,8,100,0,0
146,255408643,34,599,1,0
147,16425197,970819,360,21865,187
148,111906894,1223784,55,53460,3
149,17193794,514668,2801,23372,83
150,186113747,40572,222,298,29
151,51552352,24585,894,192777,195
152,41012588,92007,397,5745,93
153,873334429,25167,170,1933,150
154,412656361,20579,144,290,65
155,456593827,13915,71,4371,85
156,177623318,142621,556,19992,46
157,566237773,73858,162,1421,127
158,138002210,168853,41,399,33
159,491581948,43835,31,4813,203
160,38824552,12271,540,15576,110
161,350334760,48623,23,190,13
162,412801575,101634,811,964,187
163,436482631,250880,113,6699,129
164,1052284897,22720,12,239,17
165,622796109,53871,34,476,44
166,203903936,67566,48,561,18
167,402649376,585,1,4677,90
168,861083240,152021,118,1045,158
169,104464394,74,332,185,23
170,17685964,64366,160,14228,152
171,389974129,109934,50,925,69
172,142722336,535426,161,6454,103
173,83773894,70481,703,20688,161
174,1075869774,501146,18,17,0
175,405427035,746357,70,2167,86
176,103061572,113403,89,6607,97
177,44635677,227401,373,3338,127
178,358814014,416450,69,968,78
179,32688098,1065806,85,15874,0
180,378460963,305871,115,318,50
181,409089061,645264,163,2822,113
182,69580076,23256,159,21955,108
183,15443742,15902,558,46842,153
184,70663487,171936,63,31070,111
185,347663058,3083,218,6265,102
186,93167589,1799617,112,29211,4
187,83983275,10700,55,1339,127
188,11530262,49207,367,22807,42
189,33464913,144616,87,3611,80
190,175605389,869901,45753,13667,4
191,8805142,74995,707,37274,153
192,19738805,22602,312,27038,195
193,35827447,3806,165,6272,134
194,91046726,412,454,2114,4
195,186564621,73269,49,60,0
196,221635888,1717,1433,1984,257
197,97396580,803,3,0,0
198,8295072,725677,1,2252,0
199,149655776,776705,3097,30001,3
200,92211391,169441,167,23108,100
201,22728255,400700,1135,2132,94
202,237040953,3050,216,715,33
203,22564445,8086,0,112,0
204,17790274,5549118,46691,6122,141
205,66265334,86,84,321,30
206,164579656,21,36,40,0
207,258550628,31,126,245,16
208,232297802,28,84,20,0
209,47562301,10835,25,654,2
